Class	Order	Family	Genus	Species	Metabolic.rate..W.	Body.mass..g.	Temperature..K.	Maximum.longevity..yrs.
Aves	Accipitriformes	Accipitridae	Accipiter	cooperii	NA	NA	NA	20.3
Aves	Accipitriformes	Accipitridae	Accipiter	gentilis	NA	NA	NA	22
Aves	Accipitriformes	Accipitridae	Accipiter	nisus	0.9516	135	NA	20.2
Aves	Accipitriformes	Accipitridae	Accipiter	striatus	NA	NA	NA	19.9
Aves	Accipitriformes	Accipitridae	Aegypius	monachus	NA	NA	NA	39
Aves	Accipitriformes	Accipitridae	Aquila	adalberti	NA	NA	NA	44.5
Aves	Accipitriformes	Accipitridae	Aquila	audax	NA	NA	NA	40
Aves	Accipitriformes	Accipitridae	Aquila	chrysaetos	4.9929	3000	NA	48
Aves	Accipitriformes	Accipitridae	Aquila	fasciata	NA	NA	NA	20
Aves	Accipitriformes	Accipitridae	Aquila	heliaca	NA	NA	NA	56
Aves	Accipitriformes	Accipitridae	Aquila	nipalensis	NA	NA	NA	41
Aves	Accipitriformes	Accipitridae	Aquila	pomarina	NA	NA	NA	26.1
Aves	Accipitriformes	Accipitridae	Aquila	rapax	NA	NA	NA	40.3
Aves	Accipitriformes	Accipitridae	Butastur	indicus	NA	NA	NA	8.5
Aves	Accipitriformes	Accipitridae	Buteo	buteo	NA	NA	NA	28.8
Aves	Accipitriformes	Accipitridae	Buteo	jamaicensis	NA	NA	NA	30.7
Aves	Accipitriformes	Accipitridae	Buteo	lagopus	NA	NA	NA	18.8
Aves	Accipitriformes	Accipitridae	Buteo	lineatus	2.11	658	NA	22.4
Aves	Accipitriformes	Accipitridae	Buteo	platypterus	NA	NA	NA	18.3
Aves	Accipitriformes	Accipitridae	Buteo	regalis	NA	NA	NA	23.7
Aves	Accipitriformes	Accipitridae	Buteo	rufinus	NA	NA	NA	NA
Aves	Accipitriformes	Accipitridae	Buteo	solitarius	NA	NA	NA	17
Aves	Accipitriformes	Accipitridae	Buteo	swainsoni	NA	NA	NA	24.9
Aves	Accipitriformes	Accipitridae	Buteogallus	anthracinus	NA	NA	NA	13.5
Aves	Accipitriformes	Accipitridae	Circaetus	cinereus	NA	NA	NA	NA
Aves	Accipitriformes	Accipitridae	Circaetus	gallicus	NA	NA	NA	17.3
Aves	Accipitriformes	Accipitridae	Circus	aeruginosus	NA	NA	NA	20.1
Aves	Accipitriformes	Accipitridae	Circus	cyaneus	NA	NA	NA	17.1
Aves	Accipitriformes	Accipitridae	Circus	macrourus	NA	NA	NA	13.5
Aves	Accipitriformes	Accipitridae	Circus	pygargus	NA	NA	NA	16.3
Aves	Accipitriformes	Accipitridae	Elanus	caeruleus	NA	NA	NA	6
Aves	Accipitriformes	Accipitridae	Elanus	leucurus	NA	NA	NA	6
Aves	Accipitriformes	Accipitridae	Geranoaetus	melanoleucus	5.1887	2860	NA	42
Aves	Accipitriformes	Accipitridae	Gypaetus	barbatus	NA	NA	NA	40
