activ	training	id
2.985	1	1
0.2	1	2
2.441	1	3
2.644	1	4
2.099	1	5
1.976	1	6
1.794	1	7
2.286	1	8
1.45	1	9
3.2	1	10
2.058	1	11
1.458	2	12
2.283	2	13
1.973	2	14
3.389	2	15
1.686	2	16
2.884	2	17
1.854	2	18
2.67	2	19
1.683	2	20
1.759	2	21
3.144	2	22
1.603	2	23
4.129	3	24
2.331	3	25
3.248	3	26
3.493	3	27
3.562	3	28
4.617	3	29
3.594	3	30
3.385	3	31
2.626	3	32
4.37	3	33
4.327	3	34
3.025	3	35
2.702	3	36
2.443	3	37
3.556	3	38
3.159	3	39
4.421	3	40
3.596	3	41
5.52	3	42
5.373	3	43
4.564	3	44
5.026	3	45
4.272	3	46
