#input_id	id	type	rank	bet	clust	conn	go_name	go_id
OSBPL11	ENSG00000144909	list	0.0	0.0	0.0	1	Golgi apparatus|cellular_component|cell differentiation|lipid binding|biological_process|molecular_function|organelle|membrane|positive regulation of sequestering of triglyceride|lipid transport|transport|fat cell differentiation|endosome	GO:0005794|GO:0005575|GO:0030154|GO:0008289|GO:0008150|GO:0003674|GO:0043226|GO:0016020|GO:0010890|GO:0006869|GO:0006810|GO:0045444|GO:0005768
CLK4	ENSG00000113240	list	0.0	0.0	0.0	0	ion binding|peptidyl-tyrosine phosphorylation|nucleus|ATP binding|molecular_function|biological_process|protein autophosphorylation|protein kinase activity|kinase activity|protein serine/threonine kinase activity|protein serine/threonine/tyrosine kinase activity|regulation of RNA splicing|protein phosphorylation|protein tyrosine kinase activity|cellular protein modification process|transferase activity, transferring phosphorus-containing groups	GO:0043167|GO:0018108|GO:0005634|GO:0005524|GO:0003674|GO:0008150|GO:0046777|GO:0004672|GO:0016301|GO:0004674|GO:0004712|GO:0043484|GO:0006468|GO:0004713|GO:0006464|GO:0016772
UTY	ENSG00000183878	list	0.0	0.0	0.0	1	protein binding|regulation of gene expression|ion binding|nucleus|dioxygenase activity|cellular_component|metal ion binding|biological_process|molecular_function|organelle|histone H3-K27 demethylation|oxidoreductase activity|cellular protein modification process|histone demethylase activity (H3-K27 specific)|oxidation-reduction process	GO:0005515|GO:0010468|GO:0043167|GO:0005634|GO:0051213|GO:0005575|GO:0046872|GO:0008150|GO:0003674|GO:0043226|GO:0071557|GO:0016491|GO:0006464|GO:0071558|GO:0055114
MICALL1	ENSG00000100139	list	3.889780787499159E-5	3.889780787499159E-5	0.0	2	protein binding|plasma membrane organization|phosphatidic acid binding|slow endocytic recycling|membrane tubulation|endocytic recycling|ion binding|protein targeting|neuron projection development|lipid binding|identical protein binding|molecular_function|organelle|protein targeting to membrane|transport|membrane organization|vesicle-mediated transport|Rab GTPase binding|late endosome|cellular_component|receptor-mediated endocytosis|retrograde transport, endosome to plasma membrane|endocytosis|biological_process|cellular response to nerve growth factor stimulus|protein localization to endosome|zinc ion binding|enzyme binding|recycling endosome membrane|endosome membrane|extrinsic component of membrane|endosome	GO:0005515|GO:0007009|GO:0070300|GO:0032458|GO:0097320|GO:0032456|GO:0043167|GO:0006605|GO:0031175|GO:0008289|GO:0042802|GO:0003674|GO:0043226|GO:0006612|GO:0006810|GO:0061024|GO:0016192|GO:0017137|GO:0005770|GO:0005575|GO:0006898|GO:1990126|GO:0006897|GO:0008150|GO:1990090|GO:0036010|GO:0008270|GO:0019899|GO:0055038|GO:0010008|GO:0019898|GO:0005768
NHP2L1	ENSG00000100138	list	0.0	0.0	0.0	1	RNA splicing|mRNA processing|protein binding|gene expression|box C/D snoRNP complex|RNA binding|ribosome biogenesis|nucleolus|nucleus|cellular_component|molecular_function|biological_process|cellular nitrogen compound metabolic process|poly(A) RNA binding|snoRNA binding|organelle|mRNA splicing, via spliceosome|ribonucleoprotein complex|nucleoplasm|spliceosomal complex	GO:0008380|GO:0006397|GO:0005515|GO:0010467|GO:0031428|GO:0003723|GO:0042254|GO:0005730|GO:0005634|GO:0005575|GO:0003674|GO:0008150|GO:0034641|GO:0044822|GO:0030515|GO:0043226|GO:0000398|GO:0030529|GO:0005654|GO:0005681
RFX3	ENSG00000080298	list	0.0	0.0	0.0	1	protein binding|nuclear chromatin|determination of left/right symmetry|sequence-specific DNA binding transcription factor activity|transcription from RNA polymerase II promoter|transcription regulatory region DNA binding|RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity|nucleus|type B pancreatic cell maturation|locomotion|epithelial cilium movement involved in determination of left/right asymmetry|cellular nitrogen compound metabolic process|molecular_function|anatomical structure formation involved in morphogenesis|cellular component assembly|organelle|cilium-dependent cell motility|positive regulation of transcription from RNA polymerase II promoter|cell motility|cell maturation|developmental maturation|transcription factor complex|regulation of transcription, DNA-templated|biosynthetic process|cellular_component|DNA binding|anatomical structure development|transcription, DNA-templated|cilium assembly|protein complex|biological_process|regulation of insulin secretion|endocrine pancreas development|positive regulation of type B pancreatic cell development|nucleic acid binding transcription factor activity|positive regulation of transcription, DNA-templated|negative regulation of transcription, DNA-templated	GO:0005515|GO:0000790|GO:0007368|GO:0003700|GO:0006366|GO:0044212|GO:0003705|GO:0005634|GO:0072560|GO:0040011|GO:0060287|GO:0034641|GO:0003674|GO:0048646|GO:0022607|GO:0043226|GO:0060285|GO:0045944|GO:0048870|GO:0048469|GO:0021700|GO:0005667|GO:0006355|GO:0009058|GO:0005575|GO:0003677|GO:0048856|GO:0006351|GO:0042384|GO:0043234|GO:0008150|GO:0050796|GO:0031018|GO:2000078|GO:0001071|GO:0045893|GO:0045892
CEP290	ENSG00000198707	list	0.0	0.0	0.0	1	protein binding|retina development in camera-type eye|centriolar satellite|pronephros development|TCTN-B9D complex|nucleus|protein transport|ciliary basal body|cytosol|molecular_function|cytoplasm|anatomical structure formation involved in morphogenesis|cellular component assembly|organelle|G2/M transition of mitotic cell cycle|gamma-tubulin complex|regulation of establishment of protein localization|transport|regulation of cAMP metabolic process|centrosome|microtubule organizing center|otic vesicle formation|positive regulation of intracellular protein transport|cellular_component|anatomical structure development|biological_process|protein complex|cilium|cilium assembly|cell cycle|establishment or maintenance of cell polarity|membrane|cilium morphogenesis|photoreceptor connecting cilium|mitotic cell cycle|positive regulation of transcription, DNA-templated|hindbrain development|eye photoreceptor cell development	GO:0005515|GO:0060041|GO:0034451|GO:0048793|GO:0036038|GO:0005634|GO:0015031|GO:0036064|GO:0005829|GO:0003674|GO:0005737|GO:0048646|GO:0022607|GO:0043226|GO:0000086|GO:0000930|GO:0070201|GO:0006810|GO:0030814|GO:0005813|GO:0005815|GO:0030916|GO:0090316|GO:0005575|GO:0048856|GO:0008150|GO:0043234|GO:0005929|GO:0042384|GO:0007049|GO:0007163|GO:0016020|GO:0060271|GO:0032391|GO:0000278|GO:0045893|GO:0030902|GO:0042462
DUSP12	ENSG00000081721	list	2.7315339202151187E-4	2.7315339202151187E-4	0.0	2	ion binding|nucleus|positive regulation of glucokinase activity|cellular_component|metal ion binding|peptidyl-tyrosine dephosphorylation|biological_process|phosphatase activity|molecular_function|cytoplasm|protein dephosphorylation|organelle|dephosphorylation|zinc ion binding|phosphoprotein phosphatase activity|protein tyrosine/serine/threonine phosphatase activity|kinase binding|protein tyrosine phosphatase activity|cellular protein modification process	GO:0043167|GO:0005634|GO:0033133|GO:0005575|GO:0046872|GO:0035335|GO:0008150|GO:0016791|GO:0003674|GO:0005737|GO:0006470|GO:0043226|GO:0016311|GO:0008270|GO:0004721|GO:0008138|GO:0019900|GO:0004725|GO:0006464
PAX5	ENSG00000196092	list	0.0	0.0	0.0	1	protein binding|sequence-specific DNA binding transcription factor activity|transcription from RNA polymerase II promoter|nucleus|spermatogenesis|skeletal muscle cell differentiation|cellular nitrogen compound metabolic process|molecular_function|organelle|positive regulation of transcription from RNA polymerase II promoter|humoral immune response|organ morphogenesis|regulation of transcription, DNA-templated|biosynthetic process|multicellular organismal development|cellular_component|negative regulation of transcription from RNA polymerase II promoter|RNA polymerase II core promoter proximal region sequence-specific DNA binding|anatomical structure development|DNA binding|transcription, DNA-templated|nervous system development|biological_process|RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription|negative regulation of histone H3-K9 methylation|immune system process	GO:0005515|GO:0003700|GO:0006366|GO:0005634|GO:0007283|GO:0035914|GO:0034641|GO:0003674|GO:0043226|GO:0045944|GO:0006959|GO:0009887|GO:0006355|GO:0009058|GO:0007275|GO:0005575|GO:0000122|GO:0000978|GO:0048856|GO:0003677|GO:0006351|GO:0007399|GO:0008150|GO:0001077|GO:0051573|GO:0002376
WWOX	ENSG00000186153	list	1.2834797915628942E-4	1.2834797915628942E-4	0.0	2	protein binding|lipid metabolic process|coenzyme binding|positive regulation of extrinsic apoptotic signaling pathway|plasma membrane|negative regulation of Wnt signaling pathway|cellular response to transforming growth factor beta stimulus|skeletal system morphogenesis|nucleus|cytosol|mitochondrion|molecular_function|cytoplasm|organelle|positive regulation of transcription from RNA polymerase II promoter|protein dimerization activity|positive regulation of extrinsic apoptotic signaling pathway in absence of ligand|Wnt signaling pathway|steroid metabolic process|cofactor binding|Golgi apparatus|cellular_component|extrinsic apoptotic signaling pathway|osteoblast differentiation|microvillus|biological_process|signal transduction|intrinsic apoptotic signaling pathway by p53 class mediator|metabolic process|oxidoreductase activity|enzyme binding|oxidation-reduction process	GO:0005515|GO:0006629|GO:0050662|GO:2001238|GO:0005886|GO:0030178|GO:0071560|GO:0048705|GO:0005634|GO:0005829|GO:0005739|GO:0003674|GO:0005737|GO:0043226|GO:0045944|GO:0046983|GO:2001241|GO:0016055|GO:0008202|GO:0048037|GO:0005794|GO:0005575|GO:0097191|GO:0001649|GO:0005902|GO:0008150|GO:0007165|GO:0072332|GO:0008152|GO:0016491|GO:0019899|GO:0055114
