#input_id	id	type	rank	bet	clust	conn	go_name	go_id
DTX1	ENSG00000135144	list	0.0	0.0	0.0	0	protein binding|protein binding transcription factor activity|SH3 domain binding|protein ubiquitination|transcription from RNA polymerase II promoter|ligase activity|ion binding|Notch binding|nucleus|cytosol|cellular nitrogen compound metabolic process|molecular_function|cytoplasm|organelle|Notch signaling pathway|negative regulation of T cell differentiation|regulation of RNA biosynthetic process|ubiquitin protein ligase binding|regulation of Notch signaling pathway|biosynthetic process|transcription coactivator activity|cellular_component|transcription, DNA-templated|signal transduction|biological_process|negative regulation of neuron differentiation|glial cell differentiation|zinc ion binding|enzyme binding|cellular protein modification process|cell surface receptor signaling pathway	GO:0005515|GO:0000988|GO:0017124|GO:0016567|GO:0006366|GO:0016874|GO:0043167|GO:0005112|GO:0005634|GO:0005829|GO:0034641|GO:0003674|GO:0005737|GO:0043226|GO:0007219|GO:0045581|GO:2001141|GO:0031625|GO:0008593|GO:0009058|GO:0003713|GO:0005575|GO:0006351|GO:0007165|GO:0008150|GO:0045665|GO:0010001|GO:0008270|GO:0019899|GO:0006464|GO:0007166
CCND2	ENSG00000118971	list	0.0	0.0	0.0	0	protein binding|nuclear membrane|protein kinase binding|nucleolus|positive regulation of cyclin-dependent protein serine/threonine kinase activity|nucleus|regulation of cyclin-dependent protein serine/threonine kinase activity|cellular_component|cytosol|biological_process|molecular_function|protein complex|cell cycle|organelle|cyclin-dependent protein kinase holoenzyme complex|regulation of cell cycle|positive regulation of protein phosphorylation|enzyme binding|chromatin|cell division	GO:0005515|GO:0031965|GO:0019901|GO:0005730|GO:0045737|GO:0005634|GO:0000079|GO:0005575|GO:0005829|GO:0008150|GO:0003674|GO:0043234|GO:0007049|GO:0043226|GO:0000307|GO:0051726|GO:0001934|GO:0019899|GO:0000785|GO:0051301
ARHGEF7	ENSG00000102606	list	0.0	0.0	0.0	1	protein binding|neuron projection|positive regulation of lamellipodium morphogenesis|small GTPase mediated signal transduction|regulation of Rho protein signal transduction|lamellipodium assembly||cytosol|guanyl-nucleotide exchange factor activity|intracellular signal transduction|molecular_function|positive regulation of fibroblast migration|cellular component assembly|positive regulation of substrate adhesion-dependent cell spreading|epidermal growth factor receptor signaling pathway|hematopoietic progenitor cell differentiation|focal adhesion assembly|neuronal cell body|Rho guanyl-nucleotide exchange factor activity|regulation of small GTPase mediated signal transduction|neurotrophin TRK receptor signaling pathway|positive regulation of apoptotic process|protein kinase binding|negative regulation of epidermal growth factor receptor signaling pathway|cellular_component|anatomical structure development|apoptotic signaling pathway|lamellipodium|nervous system development|positive regulation of GTPase activity|signal transduction|biological_process|protein complex||enzyme binding|cell junction organization|focal adhesion	GO:0005515|GO:0043005|GO:2000394|GO:0007264|GO:0035023|GO:0030032|GO:0032855|GO:0005829|GO:0005085|GO:0035556|GO:0003674|GO:0010763|GO:0022607|GO:1900026|GO:0007173|GO:0002244|GO:0048041|GO:0043025|GO:0005089|GO:0051056|GO:0048011|GO:0043065|GO:0019901|GO:0042059|GO:0005575|GO:0048856|GO:0097190|GO:0030027|GO:0007399|GO:0043547|GO:0007165|GO:0008150|GO:0043234|GO:0032321|GO:0019899|GO:0034330|GO:0005925
ATF3	ENSG00000162772	list	0.06648936170212766	0.06648936170212766	0.3333333333333333	4	protein binding|protein binding transcription factor activity|positive regulation of cell proliferation|sequence-specific DNA binding transcription factor activity|gluconeogenesis|nucleus|skeletal muscle cell differentiation|identical protein binding|endoplasmic reticulum unfolded protein response|molecular_function|cellular nitrogen compound metabolic process|organelle|positive regulation of transcription from RNA polymerase II promoter|regulation of transcription, DNA-templated|RNA polymerase II regulatory region sequence-specific DNA binding|biosynthetic process|transcription corepressor activity|nucleolus|response to stress|negative regulation of transcription from RNA polymerase II promoter|cellular_component|RNA polymerase II core promoter proximal region sequence-specific DNA binding|RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription|DNA binding|transcription, DNA-templated|sequence-specific DNA binding|RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription|biological_process|signal transduction|nucleic acid binding transcription factor activity|nucleoplasm|activation of signaling protein activity involved in unfolded protein response|negative regulation of transcription, DNA-templated|cellular protein metabolic process	GO:0005515|GO:0000988|GO:0008284|GO:0003700|GO:0006094|GO:0005634|GO:0035914|GO:0042802|GO:0030968|GO:0003674|GO:0034641|GO:0043226|GO:0045944|GO:0006355|GO:0000977|GO:0009058|GO:0003714|GO:0005730|GO:0006950|GO:0000122|GO:0005575|GO:0000978|GO:0001228|GO:0003677|GO:0006351|GO:0043565|GO:0001078|GO:0008150|GO:0007165|GO:0001071|GO:0005654|GO:0006987|GO:0045892|GO:0044267
ASS1	ENSG00000130707	list	0.0	0.0	0.0	1	protein binding|ligase activity|ion binding|response to amine|response to zinc ion|lysosome|cellular nitrogen compound metabolic process|organelle|cellular response to tumor necrosis factor|response to lipopolysaccharide|neuronal cell body|asparagine synthase (glutamine-hydrolyzing) activity|response to estradiol|extracellular vesicular exosome|aging|response to stress|response to glucocorticoid|acute-phase response|response to steroid hormone|liver development|poly(A) RNA binding|response to mycotoxin|response to fatty acid|cellular response to interferon-gamma|diaphragm development|cellular response to ammonium ion|amino acid binding|neuron projection|aspartate metabolic process|negative regulation of leukocyte cell-cell adhesion|endoplasmic reticulum|RNA binding|nitrogen cycle metabolic process|response to peptide hormone|nucleus|mitochondrial outer membrane|small molecule metabolic process|positive regulation of nitric oxide biosynthetic process|cytosol|cell body fiber|cellular response to amine stimulus|molecular_function|cytoplasm|cellular response to amino acid stimulus|cellular response to glucagon stimulus|arginine biosynthetic process|response to acid chemical|perikaryon|asparagine biosynthetic process|response to amino acid|cellular response to laminar fluid shear stress|cellular amino acid metabolic process|response to growth hormone|biosynthetic process|response to nutrient|kidney development|response to drug|cellular_component|ATP binding|biological_process|cellular response to lipopolysaccharide|cellular response to oleic acid|midgut development|toxic substance binding|urea cycle|citrulline metabolic process|cellular response to cAMP|argininosuccinate metabolic process|cellular response to dexamethasone stimulus|argininosuccinate synthase activity	GO:0005515|GO:0016874|GO:0043167|GO:0014075|GO:0010043|GO:0005764|GO:0034641|GO:0043226|GO:0071356|GO:0032496|GO:0043025|GO:0004066|GO:0032355|GO:0070062|GO:0007568|GO:0006950|GO:0051384|GO:0006953|GO:0048545|GO:0001889|GO:0044822|GO:0010046|GO:0070542|GO:0071346|GO:0060539|GO:0071242|GO:0016597|GO:0043005|GO:0006531|GO:1903038|GO:0005783|GO:0003723|GO:0071941|GO:0043434|GO:0005634|GO:0005741|GO:0044281|GO:0045429|GO:0005829|GO:0070852|GO:0071418|GO:0003674|GO:0005737|GO:0071230|GO:0071377|GO:0006526|GO:0001101|GO:0043204|GO:0006529|GO:0043200|GO:0071499|GO:0006520|GO:0060416|GO:0009058|GO:0007584|GO:0001822|GO:0042493|GO:0005575|GO:0005524|GO:0008150|GO:0071222|GO:0071400|GO:0007494|GO:0015643|GO:0000050|GO:0000052|GO:0071320|GO:0000053|GO:0071549|GO:0004055
EFEMP1	ENSG00000115380	list	0.0	0.0	0.0	0	protein binding|epidermal growth factor receptor binding|ion binding|extracellular space|epidermal growth factor-activated receptor activity|molecular_function|epidermal growth factor receptor signaling pathway|organelle|kinase activity|extracellular matrix organization|negative regulation of chondrocyte differentiation|signal transducer activity|extracellular vesicular exosome|regulation of transcription, DNA-templated|calcium ion binding|proteinaceous extracellular matrix|extracellular region|peptidyl-tyrosine phosphorylation|cellular_component|extracellular matrix|signal transduction|biological_process|neurological system process|visual perception|growth factor activity|cellular protein modification process	GO:0005515|GO:0005154|GO:0043167|GO:0005615|GO:0005006|GO:0003674|GO:0007173|GO:0043226|GO:0016301|GO:0030198|GO:0032331|GO:0004871|GO:0070062|GO:0006355|GO:0005509|GO:0005578|GO:0005576|GO:0018108|GO:0005575|GO:0031012|GO:0007165|GO:0008150|GO:0050877|GO:0007601|GO:0008083|GO:0006464
HK2	ENSG00000159399	list	0.0	0.0	0.0	0	cellular glucose homeostasis|ion binding|mitochondrial outer membrane|generation of precursor metabolites and energy|small molecule metabolic process|hexokinase activity|glucose binding|glycolytic process|cytosol|hexose transport|mitochondrion|molecular_function|fructokinase activity|apoptotic mitochondrial changes|regulation of glucose import|glucose transport|kinase activity|transport|phosphotransferase activity, alcohol group as acceptor|glucose metabolic process|mannokinase activity|glucose 6-phosphate metabolic process|carbohydrate metabolic process|catabolic process|homeostatic process|cellular_component|transmembrane transport|ATP binding|biological_process|glucokinase activity|lactation|membrane|response to ischemia|carbohydrate phosphorylation|mitochondrion organization	GO:0001678|GO:0043167|GO:0005741|GO:0006091|GO:0044281|GO:0004396|GO:0005536|GO:0006096|GO:0005829|GO:0008645|GO:0005739|GO:0003674|GO:0008865|GO:0008637|GO:0046324|GO:0015758|GO:0016301|GO:0006810|GO:0016773|GO:0006006|GO:0019158|GO:0051156|GO:0005975|GO:0009056|GO:0042592|GO:0005575|GO:0055085|GO:0005524|GO:0008150|GO:0004340|GO:0007595|GO:0016020|GO:0002931|GO:0046835|GO:0007005
BHLHE40	ENSG00000134107	list	0.031914893617021274	0.031914893617021274	0.0	2	RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription|protein binding|protein binding transcription factor activity|sequence-specific DNA binding transcription factor activity|transcription from RNA polymerase II promoter|sequence-specific DNA binding RNA polymerase II transcription factor activity|RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity|nucleus|negative regulation of sequence-specific DNA binding transcription factor activity|protein homodimerization activity|cellular nitrogen compound metabolic process|molecular_function|organelle|protein dimerization activity|response to light stimulus|entrainment of circadian clock by photoperiod|RNA polymerase II activating transcription factor binding|regulation of transcription, DNA-templated|Golgi apparatus|protein heterodimerization activity|biosynthetic process|transcription corepressor activity|protein domain specific binding|MRF binding|nucleolus|bHLH transcription factor binding|E-box binding|negative regulation of transcription from RNA polymerase II promoter|cellular_component|DNA binding|circadian regulation of gene expression|biological_process|RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription|nucleic acid binding transcription factor activity|circadian rhythm|negative regulation of transcription, DNA-templated|transcription factor binding	GO:0001191|GO:0005515|GO:0000988|GO:0003700|GO:0006366|GO:0000981|GO:0003705|GO:0005634|GO:0043433|GO:0042803|GO:0034641|GO:0003674|GO:0043226|GO:0046983|GO:0009416|GO:0043153|GO:0001102|GO:0006355|GO:0005794|GO:0046982|GO:0009058|GO:0003714|GO:0019904|GO:0043426|GO:0005730|GO:0043425|GO:0070888|GO:0000122|GO:0005575|GO:0003677|GO:0032922|GO:0008150|GO:0001078|GO:0001071|GO:0007623|GO:0045892|GO:0008134
CHAC1	ENSG00000128965	list	0.0	0.0	0.0	0	protein binding|trans-Golgi network|response to unfolded protein|negative regulation of Notch signaling pathway|response to stress|Notch binding|cellular_component|cell differentiation|cytosol|biological_process|signal transduction|molecular_function|Notch signaling pathway|organelle|intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress|negative regulation of protein processing|neurogenesis	GO:0005515|GO:0005802|GO:0006986|GO:0045746|GO:0006950|GO:0005112|GO:0005575|GO:0030154|GO:0005829|GO:0008150|GO:0007165|GO:0003674|GO:0007219|GO:0043226|GO:0070059|GO:0010955|GO:0022008
JUN	ENSG00000177606	list	0.18351063829787234	0.18351063829787234	0.2	5	protein binding|sequence-specific DNA binding transcription factor activity|RNA polymerase II transcription factor binding transcription factor activity involved in positive regulation of transcription|transcription regulatory region DNA binding|RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity|stress-activated MAPK cascade|positive regulation of monocyte differentiation|transcriptional repressor complex|RNA polymerase II activating transcription factor binding|nuclear euchromatin|chromosome|cellular process|positive regulation of DNA replication|transcription coactivator activity|response to stress|negative regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress|negative regulation of DNA binding|liver development|poly(A) RNA binding||innate immune response|toll-like receptor 10 signaling pathway|toll-like receptor 9 signaling pathway|transcription factor binding|leading edge cell differentiation|cAMP response element binding|RNA binding|release of cytochrome c from mitochondria|nucleus|positive regulation of fibroblast proliferation|SMAD protein signal transduction|cytosol|negative regulation of protein autophosphorylation|regulation of sequence-specific DNA binding transcription factor activity|cellular response to calcium ion|regulation of cell cycle|enzyme regulator activity|monocyte differentiation|microglial cell activation|response to radiation|response to organic substance|response to drug|cellular_component|nuclear chromosome|positive regulation of smooth muscle cell proliferation||response to mechanical stimulus|biological_process|protein binding transcription factor activity|response to organic cyclic compound|response to hydrogen peroxide|nuclear chromatin|transcription from RNA polymerase II promoter|sequence-specific DNA binding RNA polymerase II transcription factor activity|response to cAMP|MyD88-independent toll-like receptor signaling pathway|negative regulation of neuron apoptotic process|double-stranded DNA binding|positive regulation of neuron apoptotic process|organelle|MyD88-dependent toll-like receptor signaling pathway|transport|response to lipopolysaccharide|transforming growth factor beta receptor signaling pathway|learning|toll-like receptor TLR6:TLR2 signaling pathway|toll-like receptor TLR1:TLR2 signaling pathway|toll-like receptor 2 signaling pathway|aging|toll-like receptor signaling pathway|positive regulation by host of viral transcription|negative regulation by host of viral transcription|SMAD protein import into nucleus|HMG box domain binding|circadian rhythm|TRIF-dependent toll-like receptor signaling pathway|nucleoplasm|RNA polymerase II distal enhancer sequence-specific DNA binding|enzyme binding|positive regulation of transcription, DNA-templated|negative regulation of transcription, DNA-templated|Fc-epsilon receptor signaling pathway|immune system process|axon regeneration|positive regulation of cell proliferation|membrane depolarization|toll-like receptor 4 signaling pathway|negative regulation of cell proliferation|molecular_function|positive regulation of transcription from RNA polymerase II promoter|response to cytokine|toll-like receptor 3 signaling pathway|transcription factor complex|regulation of transcription, DNA-templated|negative regulation of apoptotic process|positive regulation of apoptotic process|R-SMAD binding|cellular response to potassium ion starvation|angiogenesis|DNA binding|transcription, DNA-templated|outflow tract morphogenesis|nucleocytoplasmic transport|sequence-specific DNA binding|signal transduction|RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription|positive regulation of endothelial cell proliferation|nucleic acid binding transcription factor activity|toll-like receptor 5 signaling pathway	GO:0005515|GO:0003700|GO:0001190|GO:0044212|GO:0003705|GO:0051403|GO:0045657|GO:0017053|GO:0001102|GO:0005719|GO:0005694|GO:0009987|GO:0045740|GO:0003713|GO:0006950|GO:1990441|GO:0043392|GO:0001889|GO:0044822|GO:0032321|GO:0045087|GO:0034166|GO:0034162|GO:0008134|GO:0035026|GO:0035497|GO:0003723|GO:0001836|GO:0005634|GO:0048146|GO:0060395|GO:0005829|GO:0031953|GO:0051090|GO:0071277|GO:0051726|GO:0030234|GO:0030224|GO:0001774|GO:0009314|GO:0010033|GO:0042493|GO:0005575|GO:0000228|GO:0048661|GO:0005100|GO:0009612|GO:0008150|GO:0000988|GO:0014070|GO:0042542|GO:0000790|GO:0006366|GO:0000981|GO:0051591|GO:0002756|GO:0043524|GO:0003690|GO:0043525|GO:0043226|GO:0002755|GO:0006810|GO:0032496|GO:0007179|GO:0007612|GO:0038124|GO:0038123|GO:0034134|GO:0007568|GO:0002224|GO:0043923|GO:0043922|GO:0007184|GO:0071837|GO:0007623|GO:0035666|GO:0005654|GO:0000980|GO:0019899|GO:0045893|GO:0045892|GO:0038095|GO:0002376|GO:0031103|GO:0008284|GO:0051899|GO:0034142|GO:0008285|GO:0003674|GO:0045944|GO:0034097|GO:0034138|GO:0005667|GO:0006355|GO:0043066|GO:0043065|GO:0070412|GO:0051365|GO:0001525|GO:0003677|GO:0006351|GO:0003151|GO:0006913|GO:0043565|GO:0007165|GO:0001077|GO:0001938|GO:0001071|GO:0034146
