#input_id	id	type	rank	bet	clust	conn	go_name	go_id
DTX1	ENSG00000135144	list	0.024601090479196525	0.024601090479196525	0.23809523809523808	7	protein binding|protein binding transcription factor activity|SH3 domain binding|protein ubiquitination|transcription from RNA polymerase II promoter|ligase activity|ion binding|Notch binding|nucleus|cytosol|cellular nitrogen compound metabolic process|molecular_function|cytoplasm|organelle|Notch signaling pathway|negative regulation of T cell differentiation|regulation of RNA biosynthetic process|ubiquitin protein ligase binding|regulation of Notch signaling pathway|biosynthetic process|transcription coactivator activity|cellular_component|transcription, DNA-templated|signal transduction|biological_process|negative regulation of neuron differentiation|glial cell differentiation|zinc ion binding|enzyme binding|cellular protein modification process|cell surface receptor signaling pathway	GO:0005515|GO:0000988|GO:0017124|GO:0016567|GO:0006366|GO:0016874|GO:0043167|GO:0005112|GO:0005634|GO:0005829|GO:0034641|GO:0003674|GO:0005737|GO:0043226|GO:0007219|GO:0045581|GO:2001141|GO:0031625|GO:0008593|GO:0009058|GO:0003713|GO:0005575|GO:0006351|GO:0007165|GO:0008150|GO:0045665|GO:0010001|GO:0008270|GO:0019899|GO:0006464|GO:0007166
YARS	ENSG00000134684	list	0.0	0.0	0.0	1	gene expression|cell death|interleukin-8 receptor binding|ligase activity|RNA binding|ion binding|nucleus|small molecule metabolic process|extracellular space|cytosol|cellular nitrogen compound metabolic process|molecular_function|cytoplasm|nucleotide binding|organelle|signal transducer activity|tyrosine-tRNA ligase activity|cellular amino acid metabolic process|tRNA metabolic process|tRNA binding|tyrosyl-tRNA aminoacylation|apoptotic process|cellular_component|ATP binding|aminoacyl-tRNA ligase activity|tRNA aminoacylation for protein translation|poly(A) RNA binding|signal transduction|biological_process	GO:0010467|GO:0008219|GO:0005153|GO:0016874|GO:0003723|GO:0043167|GO:0005634|GO:0044281|GO:0005615|GO:0005829|GO:0034641|GO:0003674|GO:0005737|GO:0000166|GO:0043226|GO:0004871|GO:0004831|GO:0006520|GO:0006399|GO:0000049|GO:0006437|GO:0006915|GO:0005575|GO:0005524|GO:0004812|GO:0006418|GO:0044822|GO:0007165|GO:0008150
DDIT4	ENSG00000168209	list	0.0	0.0	0.0	1	negative regulation of TOR signaling|cell proliferation|cell differentiation|mitochondrion|locomotion|intracellular|14-3-3 protein binding|cytoplasm|defense response to virus|negative regulation of peptidyl-serine phosphorylation|cell motility|neuron differentiation|negative regulation of glycolytic process|negative regulation of signal transduction|response to hypoxia|neurotrophin TRK receptor signaling pathway|reactive oxygen species metabolic process|response to stress|cellular_component|protein complex disassembly|anatomical structure development|negative regulation of peptidyl-threonine phosphorylation|positive regulation of neuron death|signal transduction|biological_process|intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator|negative regulation of intracellular signal transduction|brain development|neuron migration|immune system process	GO:0032007|GO:0008283|GO:0030154|GO:0005739|GO:0040011|GO:0005622|GO:0071889|GO:0005737|GO:0051607|GO:0033137|GO:0048870|GO:0030182|GO:0045820|GO:0009968|GO:0001666|GO:0048011|GO:0072593|GO:0006950|GO:0005575|GO:0043241|GO:0048856|GO:0010801|GO:1901216|GO:0007165|GO:0008150|GO:0042771|GO:1902532|GO:0007420|GO:0001764|GO:0002376
S100P	ENSG00000163993	list	0.0	0.0	0.0	0	protein binding|response to organic substance|magnesium ion binding|plasma membrane|ion binding|calcium ion binding|nucleus|cell projection|cellular_component|locomotion|molecular_function|biological_process|cytoplasm|RAGE receptor binding|organelle|endothelial cell migration|cell motility|extracellular vesicular exosome|calcium-dependent protein binding	GO:0005515|GO:0010033|GO:0000287|GO:0005886|GO:0043167|GO:0005509|GO:0005634|GO:0042995|GO:0005575|GO:0040011|GO:0003674|GO:0008150|GO:0005737|GO:0050786|GO:0043226|GO:0043542|GO:0048870|GO:0070062|GO:0048306
VEGFA	ENSG00000112715	list	0.0	0.0	0.0	0	protein binding|commissural neuron axon guidance|ion binding|positive regulation of axon extension involved in axon guidance|positive regulation of peptidyl-tyrosine phosphorylation|artery morphogenesis|embryo development|camera-type eye morphogenesis|extracellular space|cell differentiation|anatomical structure formation involved in morphogenesis|positive regulation of p38MAPK cascade|positive regulation of cell migration involved in sprouting angiogenesis|receptor agonist activity|cell surface|protein heterodimerization activity|response to stress|positive regulation of retinal ganglion cell axon guidance|extracellular matrix binding|platelet activation|cytokine activity|in utero embryonic development|chemoattractant activity|regulation of retinal ganglion cell axon guidance|post-embryonic camera-type eye development|induction of positive chemotaxis|positive regulation of endothelial cell migration|positive regulation of intracellular signal transduction|vascular endothelial growth factor receptor 2 binding|vascular endothelial growth factor receptor binding|growth|eye photoreceptor cell development|vascular endothelial growth factor receptor 1 binding|VEGF-activated neuropilin signaling pathway|neuropilin binding|endothelial cell chemotaxis|positive regulation of positive chemotaxis|locomotion|positive regulation of peptidyl-serine phosphorylation|primitive erythrocyte differentiation|positive regulation of protein kinase C signaling|cell motility|macrophage differentiation|monocyte differentiation|cell maturation|developmental maturation|vesicle-mediated transport|fibronectin binding|negative regulation of cysteine-type endopeptidase activity involved in apoptotic process|positive regulation of protein autophosphorylation|vascular endothelial growth factor receptor signaling pathway|patterning of blood vessels|kidney development|proteinaceous extracellular matrix|cellular response to hypoxia|homeostatic process|extracellular region|cellular_component|anatomical structure development|positive chemotaxis|nervous system development|biological_process|cardiac vascular smooth muscle cell development|lactation|membrane|blood coagulation|positive regulation of leukocyte migration|platelet degranulation|cytoplasmic membrane-bounded vesicle|mesoderm development|branching morphogenesis of an epithelial tube|vasculogenesis|mammary gland alveolus development|positive regulation of receptor internalization|regulation of cell shape|positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway|positive regulation of mast cell chemotaxis|protein homodimerization activity|identical protein binding|organelle|transport|positive regulation of cell division|surfactant homeostasis|positive regulation of ERK1 and ERK2 cascade|vascular endothelial growth factor signaling pathway|positive regulation of histone deacetylase activity|positive regulation of epithelial cell proliferation|positive regulation of cell migration|negative regulation of transcription from RNA polymerase II promoter|platelet-derived growth factor receptor binding|positive regulation of cell adhesion|basophil chemotaxis|positive regulation of blood vessel endothelial cell migration|cardiac muscle fiber development|positive regulation of cell proliferation by VEGF-activated platelet derived growth factor receptor signaling pathway|growth factor activity|immune system process|positive regulation of vascular endothelial growth factor receptor signaling pathway|positive regulation of cell proliferation|cellular response to vascular endothelial growth factor stimulus|positive regulation of peptidyl-tyrosine autophosphorylation|lung development|positive regulation of transcription from RNA polymerase II promoter in response to hypoxia|cell migration involved in sprouting angiogenesis|regulation of transcription from RNA polymerase II promoter in response to hypoxia|coronary vein morphogenesis|positive regulation of focal adhesion assembly|positive regulation of protein localization to early endosome|activation of protein kinase activity|molecular_function|cytoplasm|ovarian follicle development|positive regulation of protein complex assembly|positive regulation of MAP kinase activity|positive regulation of transcription from RNA polymerase II promoter|epithelial cell differentiation|platelet alpha granule lumen|secretory granule|heparin binding|positive regulation of branching involved in ureteric bud morphogenesis|response to hypoxia|negative regulation of apoptotic process|regulation of transcription from RNA polymerase II promoter|tube formation|positive regulation of neuroblast proliferation|positive regulation of mesenchymal cell proliferation|angiogenesis|circulatory system process|outflow tract morphogenesis|positive regulation of angiogenesis|lymph vessel morphogenesis|positive regulation of gene expression|signal transduction|positive regulation of CREB transcription factor activity|heart morphogenesis|positive regulation of endothelial cell proliferation|dopaminergic neuron differentiation|coronary artery morphogenesis|positive regulation of protein phosphorylation|positive regulation of cellular component movement|positive regulation of vascular permeability	GO:0005515|GO:0071679|GO:0043167|GO:0048842|GO:0050731|GO:0048844|GO:0009790|GO:0048593|GO:0005615|GO:0030154|GO:0048646|GO:1900745|GO:0090050|GO:0048018|GO:0009986|GO:0046982|GO:0006950|GO:1902336|GO:0050840|GO:0030168|GO:0005125|GO:0001701|GO:0042056|GO:0090259|GO:0031077|GO:0050930|GO:0010595|GO:1902533|GO:0043184|GO:0005172|GO:0040007|GO:0042462|GO:0043183|GO:0038190|GO:0038191|GO:0035767|GO:0050927|GO:0040011|GO:0033138|GO:0060319|GO:0090037|GO:0048870|GO:0030225|GO:0030224|GO:0048469|GO:0021700|GO:0016192|GO:0001968|GO:0043154|GO:0031954|GO:0048010|GO:0001569|GO:0001822|GO:0005578|GO:0071456|GO:0042592|GO:0005576|GO:0005575|GO:0048856|GO:0050918|GO:0007399|GO:0008150|GO:0060948|GO:0007595|GO:0016020|GO:0007596|GO:0002687|GO:0002576|GO:0016023|GO:0007498|GO:0048754|GO:0001570|GO:0060749|GO:0002092|GO:0008360|GO:0038033|GO:0060754|GO:0042803|GO:0042802|GO:0043226|GO:0006810|GO:0051781|GO:0043129|GO:0070374|GO:0038084|GO:1901727|GO:0050679|GO:0030335|GO:0000122|GO:0005161|GO:0045785|GO:0002575|GO:0043536|GO:0048739|GO:0038091|GO:0008083|GO:0002376|GO:0030949|GO:0008284|GO:0035924|GO:1900086|GO:0030324|GO:0061419|GO:0002042|GO:0061418|GO:0003169|GO:0051894|GO:1902966|GO:0032147|GO:0003674|GO:0005737|GO:0001541|GO:0031334|GO:0043406|GO:0045944|GO:0030855|GO:0031093|GO:0030141|GO:0008201|GO:0090190|GO:0001666|GO:0043066|GO:0006357|GO:0035148|GO:0002052|GO:0002053|GO:0001525|GO:0003013|GO:0003151|GO:0045766|GO:0036303|GO:0010628|GO:0007165|GO:0032793|GO:0003007|GO:0001938|GO:0071542|GO:0060982|GO:0001934|GO:0051272|GO:0043117
ATF5	ENSG00000169136	list	0.0	0.0	0.0	0	regulation of gene expression|protein binding|protein binding transcription factor activity|sequence-specific DNA binding transcription factor activity|nucleus|post-embryonic development|olfactory lobe development|cellular nitrogen compound metabolic process|molecular_function|cytoplasm|multicellular organism growth|organelle|negative regulation of neurogenesis|heat shock protein binding|positive regulation of transcription from RNA polymerase II promoter|olfactory bulb interneuron development|transcription factor complex|regulation of transcription, DNA-templated|negative regulation of apoptotic process|RNA polymerase II regulatory region sequence-specific DNA binding|biosynthetic process|regulation of transcription from RNA polymerase II promoter|transcription corepressor activity|cellular_component|RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription|DNA binding|transcription, DNA-templated|sequence-specific DNA binding|negative regulation of astrocyte differentiation|biological_process|olfactory bulb interneuron differentiation|nucleic acid binding transcription factor activity|circadian rhythm	GO:0010468|GO:0005515|GO:0000988|GO:0003700|GO:0005634|GO:0009791|GO:0021988|GO:0034641|GO:0003674|GO:0005737|GO:0035264|GO:0043226|GO:0050768|GO:0031072|GO:0045944|GO:0021891|GO:0005667|GO:0006355|GO:0043066|GO:0000977|GO:0009058|GO:0006357|GO:0003714|GO:0005575|GO:0001228|GO:0003677|GO:0006351|GO:0043565|GO:0048712|GO:0008150|GO:0021889|GO:0001071|GO:0007623
MYO1B	ENSG00000128641	list	0.004405138238812229	0.004405138238812229	0.0	4	cytoskeletal protein binding|protein binding|calmodulin binding|perinuclear region of cytoplasm|plasma membrane|actin filament|ion binding|myosin complex|filopodium|lipid binding|cell periphery|molecular_function|motor activity|cytoplasm|microfilament motor activity|actin filament binding|cellular component assembly|organelle|transport|actin filament organization|vesicle-mediated transport|actin filament bundle assembly|extracellular vesicular exosome|actin filament-based movement|phosphatidylinositol-3,4,5-trisphosphate binding|post-Golgi vesicle-mediated transport|phosphatidylinositol-4,5-bisphosphate binding|cellular_component|ATP binding|trans-Golgi network membrane|brush border|protein complex|biological_process|metabolic process|early endosome|endosome membrane|endosome	GO:0008092|GO:0005515|GO:0005516|GO:0048471|GO:0005886|GO:0005884|GO:0043167|GO:0016459|GO:0030175|GO:0008289|GO:0071944|GO:0003674|GO:0003774|GO:0005737|GO:0000146|GO:0051015|GO:0022607|GO:0043226|GO:0006810|GO:0007015|GO:0016192|GO:0051017|GO:0070062|GO:0030048|GO:0005547|GO:0006892|GO:0005546|GO:0005575|GO:0005524|GO:0032588|GO:0005903|GO:0043234|GO:0008150|GO:0008152|GO:0005769|GO:0010008|GO:0005768
CARS	ENSG00000110619	list	0.0	0.0	0.0	1	protein binding|gene expression|cellular amino acid metabolic process|tRNA metabolic process|tRNA binding|cysteine-tRNA ligase activity|RNA binding|ligase activity|ion binding|cellular_component|small molecule metabolic process|ATP binding|metal ion binding|protein homodimerization activity|aminoacyl-tRNA ligase activity|cytosol|tRNA aminoacylation for protein translation|cysteinyl-tRNA aminoacylation|molecular_function|biological_process|cellular nitrogen compound metabolic process|cytoplasm|nucleotide binding	GO:0005515|GO:0010467|GO:0006520|GO:0006399|GO:0000049|GO:0004817|GO:0003723|GO:0016874|GO:0043167|GO:0005575|GO:0044281|GO:0005524|GO:0046872|GO:0042803|GO:0004812|GO:0005829|GO:0006418|GO:0006423|GO:0003674|GO:0008150|GO:0034641|GO:0005737|GO:0000166
JDP2	ENSG00000140044	list	9.357590786248096E-4	9.357590786248096E-4	0.3333333333333333	3	protein binding|regulation of transcription, DNA-templated|sequence-specific DNA binding transcription factor activity|protein heterodimerization activity|biosynthetic process|negative regulation of fat cell differentiation|nucleus|negative regulation of transcription from RNA polymerase II promoter|DNA binding|transcription, DNA-templated|sequence-specific DNA binding|molecular_function|biological_process|cellular nitrogen compound metabolic process|double-stranded DNA binding|positive regulation of histone deacetylation|chromatin binding|nucleic acid binding transcription factor activity	GO:0005515|GO:0006355|GO:0003700|GO:0046982|GO:0009058|GO:0045599|GO:0005634|GO:0000122|GO:0003677|GO:0006351|GO:0043565|GO:0003674|GO:0008150|GO:0034641|GO:0003690|GO:0031065|GO:0003682|GO:0001071
EPRS	ENSG00000136628	list	0.017980042790734493	0.017980042790734493	0.39285714285714285	8	negative regulation of translation|protein binding|RNA stem-loop binding|gene expression|ligase activity|RNA binding|ion binding|proline-tRNA ligase activity|small molecule metabolic process|translation|aminoacyl-tRNA synthetase multienzyme complex|cytosol|cellular nitrogen compound metabolic process|molecular_function|cytoplasm|prolyl-tRNA aminoacylation|nucleotide binding|cellular component assembly|cellular amino acid metabolic process|tRNA metabolic process|glutamate-tRNA ligase activity|biosynthetic process|cellular_component|macromolecular complex assembly|ATP binding|aminoacyl-tRNA ligase activity|tRNA aminoacylation for protein translation|protein complex|biological_process|glutamyl-tRNA aminoacylation|protein complex assembly|cellular response to interferon-gamma|membrane|ribonucleoprotein complex|GAIT complex|tRNA aminoacylation|ligase activity, forming aminoacyl-tRNA and related compounds	GO:0017148|GO:0005515|GO:0035613|GO:0010467|GO:0016874|GO:0003723|GO:0043167|GO:0004827|GO:0044281|GO:0006412|GO:0017101|GO:0005829|GO:0034641|GO:0003674|GO:0005737|GO:0006433|GO:0000166|GO:0022607|GO:0006520|GO:0006399|GO:0004818|GO:0009058|GO:0005575|GO:0065003|GO:0005524|GO:0004812|GO:0006418|GO:0043234|GO:0008150|GO:0006424|GO:0006461|GO:0071346|GO:0016020|GO:0030529|GO:0097452|GO:0043039|GO:0016876
