#input_id	id	type	rank	bet	clust	conn	go_name	go_id
EFEMP1	ENSG00000115380	list	0.0	0.0	0.0	0	protein binding|epidermal growth factor receptor binding|ion binding|extracellular space|epidermal growth factor-activated receptor activity|molecular_function|epidermal growth factor receptor signaling pathway|organelle|kinase activity|extracellular matrix organization|negative regulation of chondrocyte differentiation|signal transducer activity|extracellular vesicular exosome|regulation of transcription, DNA-templated|calcium ion binding|proteinaceous extracellular matrix|extracellular region|peptidyl-tyrosine phosphorylation|cellular_component|extracellular matrix|signal transduction|biological_process|neurological system process|visual perception|growth factor activity|cellular protein modification process	GO:0005515|GO:0005154|GO:0043167|GO:0005615|GO:0005006|GO:0003674|GO:0007173|GO:0043226|GO:0016301|GO:0030198|GO:0032331|GO:0004871|GO:0070062|GO:0006355|GO:0005509|GO:0005578|GO:0005576|GO:0018108|GO:0005575|GO:0031012|GO:0007165|GO:0008150|GO:0050877|GO:0007601|GO:0008083|GO:0006464
FBXL12	ENSG00000127452	list	0.0	0.0	0.0	0	protein binding|ubiquitin-dependent protein catabolic process|biological_process|molecular_function|cytoplasm|protein ubiquitination|ubiquitin ligase complex|cellular protein modification process	GO:0005515|GO:0006511|GO:0008150|GO:0003674|GO:0005737|GO:0016567|GO:0000151|GO:0006464
ABLIM1	ENSG00000099204	list	6.412418763206001E-4	6.412418763206001E-4	0.0	3	cytoskeletal protein binding|protein binding|stress fiber|lamellipodium assembly|ion binding|actin binding|cellular_component|actin cytoskeleton|lamellipodium|cilium assembly|biological_process|molecular_function|cytoplasm|anatomical structure formation involved in morphogenesis|organelle|cellular component assembly|axon guidance|positive regulation of transcription from RNA polymerase II promoter|cytoskeleton organization|neurological system process|organ morphogenesis|zinc ion binding|cytoskeleton|visual perception	GO:0008092|GO:0005515|GO:0001725|GO:0030032|GO:0043167|GO:0003779|GO:0005575|GO:0015629|GO:0030027|GO:0042384|GO:0008150|GO:0003674|GO:0005737|GO:0048646|GO:0043226|GO:0022607|GO:0007411|GO:0045944|GO:0007010|GO:0050877|GO:0009887|GO:0008270|GO:0005856|GO:0007601
IPO4	ENSG00000196497	list	0.0014168838363681061	0.0014168838363681061	0.0	3	protein binding|nuclear chromatin|DNA replication-dependent nucleosome assembly|DNA replication-independent nucleosome assembly|nucleus|cellular_component|protein transport|macromolecular complex assembly|intracellular protein transport|biological_process|molecular_function|protein complex|cytoplasm|protein complex assembly|organelle|cellular component assembly|membrane|binding|nuclear pore|Ran GTPase binding|transport|enzyme binding	GO:0005515|GO:0000790|GO:0006335|GO:0006336|GO:0005634|GO:0005575|GO:0015031|GO:0065003|GO:0006886|GO:0008150|GO:0003674|GO:0043234|GO:0005737|GO:0006461|GO:0043226|GO:0022607|GO:0016020|GO:0005488|GO:0005643|GO:0008536|GO:0006810|GO:0019899
TUBB4A	ENSG00000104833	list	0.015423753354759108	0.015423753354759108	0.24736842105263157	20	protein binding|protein polymerization|ion binding|GTPase activity|nucleus|cell projection|small molecule metabolic process|cytosol|cellular nitrogen compound metabolic process|molecular_function|cytoplasm|cellular component assembly|organelle|protein folding|myelin sheath|G2/M transition of mitotic cell cycle|neuronal cell body|microtubule-based process|extracellular vesicular exosome|microtubule|catabolic process|cellular_component|GTP binding|macromolecular complex assembly|obsolete GTP catabolic process|cilium|biological_process|protein complex|internode region of axon|cell cycle|protein complex assembly|nucleobase-containing compound catabolic process|structural molecule activity|structural constituent of cytoskeleton|'de novo' posttranslational protein folding|mitotic cell cycle|cellular protein metabolic process	GO:0005515|GO:0051258|GO:0043167|GO:0003924|GO:0005634|GO:0042995|GO:0044281|GO:0005829|GO:0034641|GO:0003674|GO:0005737|GO:0022607|GO:0043226|GO:0006457|GO:0043209|GO:0000086|GO:0043025|GO:0007017|GO:0070062|GO:0005874|GO:0009056|GO:0005575|GO:0005525|GO:0065003|GO:0006184|GO:0005929|GO:0008150|GO:0043234|GO:0033269|GO:0007049|GO:0006461|GO:0034655|GO:0005198|GO:0005200|GO:0051084|GO:0000278|GO:0044267
TOP2A	ENSG00000131747	list	0.0025834718203428396	0.0025834718203428396	0.3	5	protein binding|condensed chromosome|ubiquitin binding|chromosome condensation|sister chromatid segregation|ion binding|protein homodimerization activity|cellular nitrogen compound metabolic process|organelle|protein kinase C binding|positive regulation of viral genome replication|DNA-dependent ATPase activity|mitotic DNA integrity checkpoint|magnesium ion binding|DNA topoisomerase type II (ATP-hydrolyzing) activity|DNA topoisomerase complex (ATP-hydrolyzing)|protein heterodimerization activity|centriole|chromosome|DNA binding, bending|response to stress|poly(A) RNA binding|protein complex|cell cycle|apoptotic chromosome condensation|nucleoplasm|enzyme binding|mitotic cell cycle|chromosome organization|obsolete ATP catabolic process|histone deacetylase binding|RNA binding|nucleus|small molecule metabolic process|molecular_function|chromosome segregation|embryonic cleavage|hematopoietic progenitor cell differentiation|positive regulation of transcription from RNA polymerase II promoter|viral integration complex|drug binding|ATPase activity|positive regulation of apoptotic process|ubiquitin-like protein binding|nucleolus|catabolic process|DNA metabolic process|nuclear chromosome|cellular_component|mitotic recombination|protein C-terminus binding|DNA binding|ATP binding|cellular response to DNA damage stimulus|positive regulation of single stranded viral RNA replication via double stranded DNA intermediate|biological_process|nucleobase-containing compound catabolic process|resolution of meiotic recombination intermediates|chromatin binding|DNA unwinding involved in DNA replication|isomerase activity|DNA topological change|DNA ligation	GO:0005515|GO:0000793|GO:0043130|GO:0030261|GO:0000819|GO:0043167|GO:0042803|GO:0034641|GO:0043226|GO:0005080|GO:0045070|GO:0008094|GO:0044774|GO:0000287|GO:0003918|GO:0009330|GO:0046982|GO:0005814|GO:0005694|GO:0008301|GO:0006950|GO:0044822|GO:0043234|GO:0007049|GO:0030263|GO:0005654|GO:0019899|GO:0000278|GO:0051276|GO:0006200|GO:0042826|GO:0003723|GO:0005634|GO:0044281|GO:0003674|GO:0007059|GO:0040016|GO:0002244|GO:0045944|GO:0019035|GO:0008144|GO:0016887|GO:0043065|GO:0032182|GO:0005730|GO:0009056|GO:0006259|GO:0000228|GO:0005575|GO:0006312|GO:0008022|GO:0003677|GO:0005524|GO:0006974|GO:0045870|GO:0008150|GO:0034655|GO:0000712|GO:0003682|GO:0006268|GO:0016853|GO:0006265|GO:0006266
ASNS	ENSG00000070669	list	0.0030158789259060992	0.0030158789259060992	0.0	4	L-asparagine biosynthetic process|ligase activity|response to methotrexate|ion binding|small molecule metabolic process|protein homodimerization activity|cellular response to hormone stimulus|cytosol|endoplasmic reticulum unfolded protein response|molecular_function|cellular nitrogen compound metabolic process|response to nutrient levels|asparagine synthase (glutamine-hydrolyzing) activity|response to light stimulus|cellular response to glucose starvation|response to amino acid|asparagine biosynthetic process|response to follicle-stimulating hormone|cellular amino acid metabolic process|cofactor binding|negative regulation of apoptotic process|biosynthetic process|response to stress|response to toxic substance|cellular amino acid biosynthetic process|cellular_component|ATP binding|response to mechanical stimulus|liver development|signal transduction|biological_process|positive regulation of mitotic cell cycle|metabolic process|activation of signaling protein activity involved in unfolded protein response|cellular protein metabolic process|glutamine metabolic process	GO:0070981|GO:0016874|GO:0031427|GO:0043167|GO:0044281|GO:0042803|GO:0032870|GO:0005829|GO:0030968|GO:0003674|GO:0034641|GO:0031667|GO:0004066|GO:0009416|GO:0042149|GO:0043200|GO:0006529|GO:0032354|GO:0006520|GO:0048037|GO:0043066|GO:0009058|GO:0006950|GO:0009636|GO:0008652|GO:0005575|GO:0005524|GO:0009612|GO:0001889|GO:0007165|GO:0008150|GO:0045931|GO:0008152|GO:0006987|GO:0044267|GO:0006541
SRM	ENSG00000116649	list	4.4224193773969634E-4	4.4224193773969634E-4	0.0	2	spermidine biosynthetic process|biosynthetic process|spermidine synthase activity|small molecule metabolic process|cellular_component|catalytic activity|protein homodimerization activity|cytosol|molecular_function|biological_process|cellular nitrogen compound metabolic process|metabolic process|polyamine metabolic process|transferase activity, transferring alkyl or aryl (other than methyl) groups|transferase activity	GO:0008295|GO:0009058|GO:0004766|GO:0044281|GO:0005575|GO:0003824|GO:0042803|GO:0005829|GO:0003674|GO:0008150|GO:0034641|GO:0008152|GO:0006595|GO:0016765|GO:0016740
CEP57	ENSG00000166037	list	0.0	0.0	0.0	1	cytoskeletal protein binding|microtubule binding|protein binding|microtubule anchoring|spermatid development|nucleus|protein homodimerization activity|identical protein binding|cytosol|molecular_function|cytoplasm|organelle|G2/M transition of mitotic cell cycle|microtubule cytoskeleton|cytoskeleton organization|transport|protein homooligomerization|cytoskeleton|protein import into nucleus, translocation|centrosome|Golgi apparatus|microtubule organizing center|gamma-tubulin binding|fibroblast growth factor binding|microtubule|cellular_component|anatomical structure development|protein complex|signal transduction|biological_process|cell cycle|fibroblast growth factor receptor signaling pathway|mitotic cell cycle	GO:0008092|GO:0008017|GO:0005515|GO:0034453|GO:0007286|GO:0005634|GO:0042803|GO:0042802|GO:0005829|GO:0003674|GO:0005737|GO:0043226|GO:0000086|GO:0015630|GO:0007010|GO:0006810|GO:0051260|GO:0005856|GO:0000060|GO:0005813|GO:0005794|GO:0005815|GO:0043015|GO:0017134|GO:0005874|GO:0005575|GO:0048856|GO:0043234|GO:0007165|GO:0008150|GO:0007049|GO:0008543|GO:0000278
PRKCA	ENSG00000154229	list	0.0	0.0	0.0	0	protein binding|regulation of peptidyl-tyrosine phosphorylation|ion binding|generation of precursor metabolites and energy|cellular nitrogen compound metabolic process|regulation of muscle contraction|anatomical structure formation involved in morphogenesis|chondrocyte differentiation|negative regulation of glucose import|transferase activity, transferring phosphorus-containing groups|extracellular vesicular exosome|rhodopsin mediated signaling pathway|response to stress|platelet activation|regulation of rhodopsin mediated signaling pathway|positive regulation of macrophage differentiation|positive regulation of endothelial cell migration|induction of positive chemotaxis|innate immune response|zinc ion binding|perinuclear region of cytoplasm|endoplasmic reticulum|nucleus|small molecule metabolic process|negative regulation of adenylate cyclase activity|metal ion binding|dendrite|cytosol|inactivation of MAPK activity|activation of adenylate cyclase activity|positive regulation of dense core granule biogenesis|neurotrophin TRK receptor signaling pathway|histone H3-T6 phosphorylation|regulation of platelet aggregation|cellular_component|histone kinase activity (H3-T6 specific)|biological_process|protein kinase activity|energy reserve metabolic process|regulation of insulin secretion|protein serine/threonine kinase activity|blood coagulation|positive regulation of inflammatory response|gene expression|phototransduction, visible light|organelle|epidermal growth factor receptor signaling pathway|kinase activity|extracellular matrix organization|positive regulation of lipopolysaccharide-mediated signaling pathway|neuronal cell body|desmosome assembly|positive regulation of ERK1 and ERK2 cascade|positive regulation of cell migration|RNA metabolic process|mRNA metabolic process|neutrophil chemotaxis|positive regulation of cell adhesion|positive regulation of blood vessel endothelial cell migration|positive regulation of mitotic cell cycle|fibroblast growth factor receptor signaling pathway|regulation of the force of heart contraction|calcium-dependent protein kinase C activity|nucleoplasm|protein kinase C activity|enzyme binding|cell junction organization|immune system process|photoreceptor outer segment|negative regulation of cell proliferation|plasma membrane|cell-cell signaling|synaptic transmission|activation of phospholipase C activity|intracellular signal transduction|mitochondrion|molecular_function|cytoplasm|cellular component assembly|cell adhesion|positive regulation of cardiac muscle hypertrophy|response to interleukin-1|negative regulation of insulin receptor signaling pathway|cellular calcium ion homeostasis|peptidyl-serine autophosphorylation|apical part of cell|angiogenesis|ATP binding|apoptotic signaling pathway|positive regulation of angiogenesis|intrinsic apoptotic signaling pathway|signal transduction|positive regulation of endothelial cell proliferation|negative regulation of glial cell apoptotic process|positive regulation of protein phosphorylation|negative regulation of protein phosphorylation|protein phosphorylation|negative regulation of protein kinase activity|protein tyrosine kinase activity|cellular protein modification process|cellular response to carbohydrate stimulus	GO:0005515|GO:0050730|GO:0043167|GO:0006091|GO:0034641|GO:0006937|GO:0048646|GO:0002062|GO:0046325|GO:0016772|GO:0070062|GO:0016056|GO:0006950|GO:0030168|GO:0022400|GO:0045651|GO:0010595|GO:0050930|GO:0045087|GO:0008270|GO:0048471|GO:0005783|GO:0005634|GO:0044281|GO:0007194|GO:0046872|GO:0030425|GO:0005829|GO:0000188|GO:0007190|GO:2000707|GO:0048011|GO:0035408|GO:0090330|GO:0005575|GO:0035403|GO:0008150|GO:0004672|GO:0006112|GO:0050796|GO:0004674|GO:0007596|GO:0050729|GO:0010467|GO:0007603|GO:0043226|GO:0007173|GO:0016301|GO:0030198|GO:0031666|GO:0043025|GO:0002159|GO:0070374|GO:0030335|GO:0016070|GO:0016071|GO:0030593|GO:0045785|GO:0043536|GO:0045931|GO:0008543|GO:0002026|GO:0004698|GO:0005654|GO:0004697|GO:0019899|GO:0034330|GO:0002376|GO:0001750|GO:0008285|GO:0005886|GO:0007267|GO:0007268|GO:0007202|GO:0035556|GO:0005739|GO:0003674|GO:0005737|GO:0022607|GO:0007155|GO:0010613|GO:0070555|GO:0046627|GO:0006874|GO:0036289|GO:0045177|GO:0001525|GO:0005524|GO:0097190|GO:0045766|GO:0097193|GO:0007165|GO:0001938|GO:0034351|GO:0001934|GO:0001933|GO:0006468|GO:0006469|GO:0004713|GO:0006464|GO:0071322
